,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
69,Mississippi,,,2019,Unspecified,Landfill,2.0,28000,161.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,3579091.0,0.0,0.0,,,0.0,,0.0,0.0
70,Mississippi,,,2019,Unspecified,Landfill,2.0,28000,161.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,782354.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
71,Mississippi,,,2019,Unspecified,Landfill,2.0,28000,161.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,1382832.0,,,0.0,,0.0,0.0
72,Mississippi,,,2019,Unspecified,Landfill,2.0,28000,161.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,128784.0,,,0.0,,0.0,0.0
73,Mississippi,,,2019,Unspecified,Compost Facility,2.0,28000,161.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,30211.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
74,Mississippi,,,2018,Unspecified,Landfill,2.0,28000,162.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,3646933.0,0.0,0.0,,,0.0,,0.0,0.0
75,Mississippi,,,2018,Unspecified,Landfill,2.0,28000,162.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,795212.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
76,Mississippi,,,2018,Unspecified,Landfill,2.0,28000,162.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,1326278.0,,,0.0,,0.0,0.0
77,Mississippi,,,2018,Unspecified,Landfill,2.0,28000,162.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,77285.0,,,0.0,,0.0,0.0
78,Mississippi,,,2018,Unspecified,Compost Facility,2.0,28000,162.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,23405.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
79,Mississippi,,,2017,Unspecified,Landfill,2.0,28000,163.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,3425569.0,0.0,0.0,,,0.0,,0.0,0.0
80,Mississippi,,,2017,Unspecified,Landfill,2.0,28000,163.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,669668.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
81,Mississippi,,,2017,Unspecified,Landfill,2.0,28000,163.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,1414188.0,,,0.0,,0.0,0.0
82,Mississippi,,,2017,Unspecified,Landfill,2.0,28000,163.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,97171.0,,,0.0,,0.0,0.0
83,Mississippi,,,2017,Unspecified,Compost Facility,2.0,28000,163.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,27141.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
84,Mississippi,,,2007,Unspecified,Landfill,2.0,28000,164.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,3073408.0,0.0,0.0,,,0.0,,0.0,0.0
85,Mississippi,,,2007,Unspecified,Landfill,2.0,28000,164.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,552251.0,0.0,0.0,0.0,,,0.0,,0.0,0.0
86,Mississippi,,,2007,Unspecified,Landfill,2.0,28000,164.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,1407700.0,,,0.0,,0.0,0.0
87,Mississippi,,,2007,Unspecified,Landfill,2.0,28000,164.0,0.0,0,0,0,0.0,0,nan,Y,N,N,U,0.0,0.0,0.0,0.0,0.0,216084.0,,,0.0,,0.0,0.0
88,Mississippi,Adams,,2007,Unspecified,Landfill,2.0,28001,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,29427.0,0.0,0.0,,,0.0,,0.0,0.0
89,Mississippi,Alcorn,,2007,Unspecified,Landfill,2.0,28003,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,50845.0,0.0,0.0,,,0.0,,0.0,0.0
90,Mississippi,Amite,,2007,Unspecified,Landfill,2.0,28005,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,7632.0,0.0,0.0,,,0.0,,0.0,0.0
91,Mississippi,Attala,,2007,Unspecified,Landfill,2.0,28007,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,29903.0,0.0,0.0,,,0.0,,0.0,0.0
92,Mississippi,Benton,,2007,Unspecified,Landfill,2.0,28009,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,7561.0,0.0,0.0,,,0.0,,0.0,0.0
93,Mississippi,Bolivar,,2007,Unspecified,Landfill,2.0,28011,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,26832.0,0.0,0.0,,,0.0,,0.0,0.0
94,Mississippi,Calhoun,,2007,Unspecified,Landfill,2.0,28013,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,8936.0,0.0,0.0,,,0.0,,0.0,0.0
95,Mississippi,Carroll,,2007,Unspecified,Landfill,2.0,28015,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,3402.0,0.0,0.0,,,0.0,,0.0,0.0
96,Mississippi,Chickasaw,,2007,Unspecified,Landfill,2.0,28017,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,15941.0,0.0,0.0,,,0.0,,0.0,0.0
97,Mississippi,Choctaw,,2007,Unspecified,Landfill,2.0,28019,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,7427.0,0.0,0.0,,,0.0,,0.0,0.0
98,Mississippi,Claiborne,,2007,Unspecified,Landfill,2.0,28021,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,4018.0,0.0,0.0,,,0.0,,0.0,0.0
99,Mississippi,Clarke,,2007,Unspecified,Landfill,2.0,28023,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,5965.0,0.0,0.0,,,0.0,,0.0,0.0
100,Mississippi,Clay,,2007,Unspecified,Landfill,2.0,28025,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,19895.0,0.0,0.0,,,0.0,,0.0,0.0
